,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
2673,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Хабаровск,-,140 куб. см.,бензин,-,4-тактный,механика
2674,136000 ₽,Motoland Forester 200, 2025,Новосибирск,-,200 куб. см.,бензин,карбюратор,-,механика
2675,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Владивосток,-,150 куб. см.,бензин,карбюратор,4-тактный,механика
2676,136000 ₽,ABM ABM, 2025,Троицк,880 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2677,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Барнаул,-,150 куб. см.,бензин,-,4-тактный,механика
2678,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Новосибирск,-,150 куб. см.,бензин,-,4-тактный,-
2679,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Благовещенск,-,140 куб. см.,бензин,-,4-тактный,-
2680,136000 ₽,Regulmoto Seven Medalist Pro, 2024,Новосибирск,1 км,140 куб. см.,бензин,карбюратор,4-тактный,механика
2681,136400 ₽,Roliz 150-8A-E Optimus, 2024,Томск,-,150 куб. см.,бензин,-,4-тактный,-
2682,136990 ₽,Kayo Basic TT140EM, 2024,Новосибирск,-,140 куб. см.,бензин,-,4-тактный,-
2683,137000 ₽,Racer RC300-GY8V XSR, 2024,Москва,2 225 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2684,137000 ₽,BSE PH-150E, 2023,Новосибирск,60 км,150 куб. см.,бензин,-,4-тактный,-
2685,137000 ₽,Минск Ranger 200, 2024,Томск,-,200 куб. см.,бензин,-,4-тактный,-
2686,138000 ₽,Motoland XR250, 2024,Новосибирск,500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2687,138000 ₽,Regulmoto Senke SK200-9, 2024,Благовещенск,-,200 куб. см.,бензин,карбюратор,-,механика
2688,138000 ₽,Regulmoto SK 200-6, 2024,Благовещенск,-,200 куб. см.,бензин,-,4-тактный,-
2689,138000 ₽,VMC 140, 2024,Москва,3 386 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2690,138000 ₽,BSE J5 250 21-18, 2024,Цимлянск,6 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2691,138000 ₽,Racer Panther RC300-GY8X, 2023,Бийск,554 км,300 куб. см.,-,карбюратор,-,механика
2692,138000 ₽,Racer Magnum RC200-C5B, 2025,Новосибирск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2693,138000 ₽,Racer Fighter, 2014,Шилка,8 700 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2694,138000 ₽,Regulmoto SK 200-6, 2025,Уссурийск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2695,138000 ₽,Progasi Max 150, 2024,Новосибирск,1 000 км,150 куб. см.,бензин,карбюратор,4-тактный,-
2696,138000 ₽,SYCMCC SYC300-11, 2025,Москва,1 км,300 куб. см.,-,-,4-тактный,механика
2697,139000 ₽,Roliz Sport-003, 2024,Екатеринбург,400 км,250 куб. см.,бензин,-,4-тактный,-
2698,139000 ₽,JMC 250 FRR, 2022,Армизонское,100 000 км,250 куб. см.,бензин,карбюратор,-,-
2699,139000 ₽,Yamaha GT 50, 2013,Владивосток,11 000 км,50 куб. см.,бензин,-,-,-
2700,139000 ₽,SYCMCC SYC300-11, 2025,Новосибирск,1 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2701,139000 ₽,SYCMCC SYC300-11, 2025,Новосибирск,10 км,300 куб. см.,-,карбюратор,4-тактный,механика
2702,139000 ₽,Regulmoto ZF-KY 250 Sport-003, 2021,Белово,1 100 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2703,139000 ₽,Alpha Sport, 2024,Искитим,1 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2704,139000 ₽,Xinguizun KTX NB300, 2025,Новосибирск,10 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2705,139800 ₽,Roliz Banditos, 2024,Владивосток,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2706,139800 ₽,Motoland Forester 200, 2025,Красноярск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2707,139800 ₽,Roliz Banditos, 2024,Владивосток,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2708,139950 ₽,Roliz 150-8A-I Asterix, 2024,Новосибирск,-,150 куб. см.,бензин,-,4-тактный,-
2709,139990 ₽,Kayo Evolution YX140EM, 2024,Бийск,-,140 куб. см.,бензин,-,4-тактный,-
2710,139990 ₽,Progasi Smart 125, 2024,Владивосток,-,125 куб. см.,бензин,карбюратор,4-тактный,механика
2711,139990 ₽,Progasi Smart 150, 2024,Белово,-,150 куб. см.,-,-,-,-
2712,139990 ₽,Progasi Jumbo 125, 2024,Владивосток,-,125 куб. см.,бензин,карбюратор,4-тактный,механика
2713,139990 ₽,SYCMCC SYC300-11, 2024,Новосибирск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2714,139990 ₽,Progasi Smart 150, 2024,Томск,-,140 куб. см.,бензин,-,4-тактный,-
2715,139999 ₽,Motoland TT250, 2020,Можга,5 900 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2716,139999 ₽,Kayo K1 250 MX, 2023,Пушкино,137 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2717,140000 ₽,Motoland XR250 Lite, 2023,Октябрьский,70 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2718,140000 ₽,Motoland XT250 HS, 2023,Медногорск,1 160 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2719,140000 ₽,Racer Panther RC300-GY8X, 2020,Волчиха,7 850 км,300 куб. см.,-,карбюратор,4-тактный,-
2720,140000 ₽,Bajaj Boxer BM 150 X, 2020,Новосибирск,1 600 км,150 куб. см.,бензин,карбюратор,-,механика
2721,140000 ₽,Ducati Supersport 750, 2003,Кемерово,30 500 км,750 куб. см.,бензин,-,4-тактный,-
2722,140000 ₽,SYCMCC SYC300-11, 2025,Новосибирск,-,300 куб. см.,бензин,карбюратор,4-тактный,механика
2723,140000 ₽,Kawasaki KDX 200SR, 1994,Лесозаводск,-,200 куб. см.,бензин,карбюратор,2-тактный,механика
2724,140000 ₽,Racer Nitro, 2023,Воткинск,2 500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2725,140000 ₽,Урал ИМЗ 8.103-10, 1995,Асбест,23 467 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
2726,140000 ₽,Kayo K1 250 MX, 2024,Нижний Новгород,64 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2727,140000 ₽,Vento Vento, 2024,Горно-Алтайск,300 км,140 куб. см.,бензин,карбюратор,2-тактный,механика
2728,140000 ₽,Racer Panther RC300-GY8X, 2023,Барнаул,1 100 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2729,140000 ₽,BSE 150, 2024,Чита,400 км,150 куб. см.,бензин,карбюратор,4-тактный,механика
2730,140000 ₽,Racer Panther RC250GY-C2, 2024,Красный Чикой,3 000 км,250 куб. см.,бензин,-,4-тактный,-
2731,140000 ₽,Motoland CRF 250, 2021,Москва,1 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
2732,140000 ₽,Racer Ranger RC300-GY8, 2017,Красноярск,1 500 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2733,140000 ₽,GR GR-X, 2024,Усть-Илимск,-,125 куб. см.,бензин,-,4-тактный,-
2734,140000 ₽,Racer Triumph, 2024,Севастополь,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2735,140000 ₽,Zuum Zuum, 2022,Суворовская,111 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2736,140000 ₽,Hammer HM250, 2023,Калга,2 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2737,140000 ₽,Regulmoto Sport-003 PR, 2023,Петропавловск-Камчатский,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2738,140000 ₽,Racer Panther, 2024,Прокопьевск,1 000 км,250 куб. см.,-,-,-,-
2739,140000 ₽,Motoland Flash 200, 2023,Самара,1 800 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2740,140000 ₽,Racer Forester RC200LT, 2014,Горно-Алтайск,5 000 км,200 куб. см.,бензин,карбюратор,-,механика
2741,140000 ₽,Regulmoto Athlete 250, 2021,Новосибирск,100 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2742,140000 ₽,Honda CRM 80, 1996,Владивосток,4 000 км,80 куб. см.,бензин,карбюратор,2-тактный,механика
2743,140000 ₽,Racer Panther RC300-GY8X, 2023,Тума,400 км,270 куб. см.,бензин,карбюратор,4-тактный,механика
2744,140000 ₽,Racer Panther RC300-GY8X, 2023,Куйтун,3 000 км,300 куб. см.,бензин,-,-,механика
2745,140000 ₽,Zuum 300CBs, 2023,Иркутск,300 км,300 куб. см.,бензин,-,4-тактный,-
2746,140000 ₽,Irbis TTR 250, 2018,Барнаул,9 200 км,250 куб. см.,бензин,-,4-тактный,механика
2747,140000 ₽,Kayo T2 250 Enduro, 2022,Владимиро-Александровское,620 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2748,140000 ₽,Yamaha Virago XV 250, 1996,Кызыл,46 000 км,250 куб. см.,бензин,-,4-тактный,-
2749,140000 ₽,Suzuki Skywave 400, 1999,Владивосток,6 100 км,400 куб. см.,бензин,-,4-тактный,-
2750,140000 ₽,Fireguard Fireguard, 2023,Томск,5 500 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
2751,140000 ₽,Racer Panther RC300-GY8X, 2021,Новокузнецк,3 000 км,300 куб. см.,бензин,-,4-тактный,-
2752,140000 ₽,Regulmoto SK 200-9, 2024,Уссурийск,-,200 куб. см.,бензин,-,4-тактный,-
2753,140000 ₽,Zuumav FX K5 Lite, 2024,Махачкала,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2754,140000 ₽,X-Motos Cross, 2025,Хабаровск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2755,140000 ₽,Motoland XL250-C, 2019,Иркутск,1 208 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2756,140000 ₽,Motoland TT300, 2020,Красная Горбатка,5 000 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2757,140000 ₽,Wanqiang Wanqiang, 2023,Красноярск,1 429 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2758,140000 ₽,SSSR DNA, 2023,Калтан,200 км,300 куб. см.,бензин,-,4-тактный,-
2759,140000 ₽,Regulmoto Onix 125, 2024,Лесозаводск,3 000 км,150 куб. см.,бензин,карбюратор,4-тактный,механика
2760,140000 ₽,Motoland XR250 Enduro, 2020,Ижевск,12 000 км,250 куб. см.,бензин,-,4-тактный,-
2761,140000 ₽,Kawasaki ZZR 400, 1991,Ванино,130 000 км,400 куб. см.,бензин,-,4-тактный,-
2762,140000 ₽,Motoland XT250 HS, 2020,Новосибирск,1 350 км,250 куб. см.,бензин,-,4-тактный,-
2763,140000 ₽,Racer Panther Lite RC250GY-C2A, 2020,Новопавловка,5 500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2764,140000 ₽,Regulmoto Senke SK250GY-5, 2017,Анапа,15 000 км,250 куб. см.,бензин,-,4-тактный,-
2765,140000 ₽,Progasi Max 150, 2023,Ноябрьск,780 км,150 куб. см.,-,карбюратор,4-тактный,механика
2766,140000 ₽,Kayo K1 250 MX, 2023,Ульяновск,100 км,249 куб. см.,бензин,карбюратор,4-тактный,механика
2767,140000 ₽,Irbis TTR 250R, 2021,Сасово,1 541 км,223 куб. см.,бензин,карбюратор,4-тактный,механика
2768,140000 ₽,Ataki DR250, 2022,Берёзовский,1 100 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2769,140000 ₽,Kayo T2, 2017,Тюмень,-,250 куб. см.,-,карбюратор,4-тактный,механика
2770,140000 ₽,SYCMCC SYC300-11, 2024,Красноярск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2771,140000 ₽,Regulmoto Allroad, 2024,Хабаровск,-,150 куб. см.,-,-,4-тактный,механика
2772,140000 ₽,Regulmoto Seven Medalist Pro, 2025,Хабаровск,-,140 куб. см.,бензин,-,4-тактный,-
2773,140000 ₽,Avantis FX 250 Lux, 2020,Новосибирск,3 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2774,140000 ₽,Kayo T4 250 Enduro, 2010,Красноярск,200 км,250 куб. см.,бензин,карбюратор,4-тактный,-
2775,140000 ₽,Racer Skyway RC300-CS, 2018,Искитим,200 км,270 куб. см.,бензин,карбюратор,4-тактный,механика
2776,140000 ₽,Motoland TT250, 2022,Детчино,2 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2777,140000 ₽,Racer Panther RC250GY-C2, 2023,Первомайский,1 500 км,224 куб. см.,бензин,-,4-тактный,механика
2778,140000 ₽,Racer RC250GY-C2K K2, 2023,Москва,3 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2779,140000 ₽,Racer Skyway RC300-CS, 2017,Новосибирск,3 830 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2780,140000 ₽,Roliz 150-8A-I Asterix, 2025,Томск,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2781,140000 ₽,Regulmoto Sport-003 PR, 2023,Владивосток,600 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2782,140000 ₽,Racer Panther RC300-GY8X, 2023,Озёрск,792 км,300 куб. см.,бензин,-,4-тактный,-
2783,140000 ₽,Regulmoto Raptor 250, 2022,Москва,6 633 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2784,140000 ₽,Racer Panther Lite RC250GY-C2A, 2023,Чита,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2785,140000 ₽,Bajaj V15, 2017,Москва,14 000 км,150 куб. см.,бензин,карбюратор,4-тактный,механика
2786,140000 ₽,Regulmoto Athlete 250 21-18, 2022,Сунтар,158 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2787,140000 ₽,Regulmoto Seven Medalist Pro, 2024,Кемерово,-,140 куб. см.,бензин,карбюратор,4-тактный,механика
2788,140000 ₽,Kayo K4 250 MX, 2022,Жуков,1 111 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2789,140000 ₽,Regulmoto Regulmoto, 2023,Черниговка,800 км,250 куб. см.,бензин,карбюратор,-,механика
2790,140000 ₽,Kayo K1 250 MX, 2020,Челябинск,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2791,140000 ₽,Racer Panther RC300-GY8X, 2023,Каскара,1 200 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2792,140000 ₽,Rockot Motors R5F Raptor, 2024,Нижнекамск,1 111 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2793,140000 ₽,Regulmoto Sport-003 PR, 2021,Новоалтайск,8 759 км,250 куб. см.,бензин,-,4-тактный,-
2794,140000 ₽,Progasi Smart 150, 2023,Хабаровск,600 км,140 куб. см.,бензин,карбюратор,4-тактный,механика
2795,140000 ₽,Apollo Thunder 140, 2025,Томск,-,140 куб. см.,бензин,карбюратор,4-тактный,механика
2796,140000 ₽,SPR-Motors CrossRoad-3, 2021,Дальнегорск,6 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2797,140000 ₽,Motoland XR250 Enduro, 2021,Красноярск,1 200 км,250 куб. см.,бензин,-,4-тактный,-
2798,140000 ₽,Wanqiang Wanqiang, 2022,Томск,10 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2799,140000 ₽,Sigma Sport Sigma Sport, 2023,Санкт-Петербург,2 500 км,110 куб. см.,бензин,карбюратор,4-тактный,механика
2800,140000 ₽,Motoland FC 250, 2022,Мыски,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2801,140000 ₽,Regulmoto SK 250GY-5, 2019,Чита,9 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2802,140000 ₽,Regulmoto ZR 250, 2019,Иркутск,-,250 куб. см.,бензин,-,4-тактный,-
2803,140000 ₽,Regulmoto TE, 2022,Благовещенск,2 300 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2804,140000 ₽,Regulmoto Sport-003 Z, 2021,Нерюнгри,3 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2805,140000 ₽,Racer Nitro RC250-CK, 2014,Северск,7 500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2806,140000 ₽,Kayo T2 250 MX, 2023,Красноярск,4 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2807,140000 ₽,SPR-Motors CrossRoad-200, 2025,Арсеньев,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2808,140000 ₽,Regulmoto Athlete 300, 2023,Сибай,1 000 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2809,140000 ₽,Kayo Evolution YX140EM, 2024,Урай,-,140 куб. см.,бензин,-,4-тактный,механика
2810,140000 ₽,X-Motos X-Motos, 2024,Владивосток,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2811,140000 ₽,Regulmoto Athlete 250, 2021,Иркутск,2 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
2812,140000 ₽,Motoland Bandit 250, 2024,Константиновск,6 992 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2813,140000 ₽,Racer Panther RC250GY-C2, 2023,Петровск-Забайкальский,3 200 км,250 куб. см.,-,карбюратор,-,механика
2814,140000 ₽,Racer Panther RC300-GY8X, 2023,Барнаул,2 400 км,300 куб. см.,бензин,-,4-тактный,-
2815,140000 ₽,Motoland XL250-F, 2019,Красноярск,3 750 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2816,140000 ₽,Motoland CRF 250, 2021,Москва,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2817,140000 ₽,Racer Panther RC250GY-C2, 2020,Новосибирск,1 700 км,224 куб. см.,бензин,карбюратор,4-тактный,механика
2818,140000 ₽,Avantis FX 250 Lux, 2020,Куйбышев,3 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
2819,140000 ₽,Regulmoto SK200-8, 2024,Чита,100 км,200 куб. см.,бензин,карбюратор,4-тактный,механика
2820,140000 ₽,Apollo Thunder 250, 2024,Находка,70 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2821,140000 ₽,Racer SR-X1 Cross X1, 2022,Кольчугино,2 000 км,250 куб. см.,бензин,-,4-тактный,-
2822,140000 ₽,Racer Panther, 2023,Гурьевск,3 000 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2823,140000 ₽,Racer Enduro 300 RC300-GY8A, 2024,Новокузнецк,1 000 км,300 куб. см.,бензин,карбюратор,-,механика
2824,140000 ₽,Kayo K1 250 MX, 2024,Белогорск,70 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2825,140000 ₽,Racer Nitro RC200-CK, 2013,Черемхово,10 000 км,200 куб. см.,бензин,карбюратор,4-тактный,-
2826,140000 ₽,Regulmoto Senke SK200-9, 2024,Владивосток,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2827,140000 ₽,Wels MX250R, 2020,Москва,1 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2828,140000 ₽,Racer Panther RC300-GY8X, 2024,Павловск,3 500 км,300 куб. см.,бензин,карбюратор,-,механика
2829,140000 ₽,BSE Z3, 2021,Набережные Челны,2 400 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2830,140000 ₽,Shineray XY250ST, 2021,Усть-Тарка,3 000 км,250 куб. см.,бензин,-,4-тактный,-
2831,140000 ₽,BSE J5 250 21-18, 2022,Воронеж,74 км,250 куб. см.,-,карбюратор,4-тактный,механика
2832,140000 ₽,Avantis Enduro 250, 2023,Киселёвск,1 100 км,250 куб. см.,бензин,-,4-тактный,-
2833,140000 ₽,Racer Panther RC300-GY8X, 2020,Казаки,2 200 км,270 куб. см.,бензин,карбюратор,4-тактный,механика
2834,140000 ₽,Урал Турист, 1992,Вихоревка,19 000 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
2835,140000 ₽,Kayo Evolution YX140EM, 2024,Бачатский,1 500 км,140 куб. см.,бензин,карбюратор,4-тактный,механика
2836,140000 ₽,Racer Enduro 300 RC300-GY8A, 2024,Татарск,1 900 км,300 куб. см.,бензин,карбюратор,-,механика
2837,140000 ₽,Racer Enduro 300 RC300-GY8A, 2023,Каменск,450 км,270 куб. см.,бензин,карбюратор,-,механика
2838,140000 ₽,Racer Fighter RC300CK-N, 2023,Кемерово,3 920 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2839,140000 ₽,ЗиД 250, 2022,Санкт-Петербург,776 км,225 куб. см.,бензин,-,4-тактный,-
2840,140000 ₽,CZ 500, 1996,Чита,1 000 км,500 куб. см.,бензин,карбюратор,2-тактный,механика
2841,140000 ₽,BSE Z5, 2021,Абинск,1 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2842,140000 ₽,Motoland Enduro 250 ST, 2024,Евпатория,2 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2843,140000 ₽,Zuumav FX S3, 2025,Находка,-,150 куб. см.,-,карбюратор,4-тактный,механика
2844,140000 ₽,Motoland WRX 250 Lite, 2019,Миньяр,1 111 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2845,140000 ₽,Motoland Enduro 250 LT, 2019,Ермаковское,9 621 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2846,140000 ₽,Kayo K1 250 MX, 2023,Краснодар,1 500 км,270 куб. см.,бензин,карбюратор,4-тактный,механика
2847,140000 ₽,Regulmoto SK 200-9, 2024,Благовещенск,-,200 куб. см.,бензин,-,4-тактный,-
2848,140000 ₽,Racer Panther RC300-GY8X, 2021,Ярково,900 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2849,140000 ₽,Kawasaki KX 80, 1999,Партизанское,3 000 км,80 куб. см.,бензин,-,2-тактный,механика
2850,140000 ₽,Regulmoto ZR 250, 2021,Красноярск,500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2851,140000 ₽,BSE Z2, 2023,Маркова,-,250 куб. см.,бензин,карбюратор,4-тактный,-
2852,140000 ₽,Roliz Sport-005, 2023,Бердск,600 км,250 куб. см.,бензин,карбюратор,4-тактный,-
2853,140000 ₽,Regulmoto Raptor 250, 2022,Владивосток,6 500 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2854,141000 ₽,Roliz Banditos, 2024,Благовещенск,-,200 куб. см.,бензин,-,4-тактный,-
2855,141000 ₽,Roliz 150-8A-I Asterix, 2023,Благовещенск,-,150 куб. см.,бензин,-,4-тактный,-
2856,141000 ₽,Roliz 150-8A-I Asterix, 2024,Хабаровск,-,150 куб. см.,бензин,-,4-тактный,механика
2857,141000 ₽,Irbis GR 250, 2014,Ялта,14 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2858,141500 ₽,Roliz Banditos, 2024,Хабаровск,-,200 куб. см.,бензин,-,4-тактный,механика
2859,141900 ₽,Wels Wels, 2022,Владивосток,-,140 куб. см.,бензин,карбюратор,4-тактный,механика
2860,141990 ₽,JHL SX150, 2024,Бийск,-,150 куб. см.,бензин,карбюратор,4-тактный,механика
2861,142000 ₽,Regulmoto Monster, 2025,Уссурийск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2862,142000 ₽,BSE MX 125, 2024,Санкт-Петербург,200 км,125 куб. см.,бензин,-,4-тактный,-
2863,142000 ₽,Regulmoto Monster, 2025,Хабаровск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2864,142000 ₽,Racer Panther RC250GY-C2, 2023,Зима,1 800 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2865,142000 ₽,Regulmoto Monster, 2024,Уссурийск,-,200 куб. см.,бензин,-,4-тактный,-
2866,142000 ₽,Щукарь Щукарь, 2025,Новосибирск,-,230 куб. см.,бензин,карбюратор,4-тактный,автомат
2867,142000 ₽,Regulmoto Monster, 2024,Свободный,-,200 куб. см.,бензин,карбюратор,-,механика
2868,142000 ₽,Regulmoto Monster, 2025,Благовещенск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2869,142000 ₽,Regulmoto Monster, 2025,Новосибирск,-,200 куб. см.,-,карбюратор,-,механика
2870,142000 ₽,Suzuki DR 250S, 1991,Находка,-,250 куб. см.,бензин,карбюратор,4-тактный,механика
2871,142999 ₽,Racer Enduro RC200GY-C2, 2024,Иркутск,-,200 куб. см.,бензин,-,4-тактный,-
2872,144000 ₽,Kayo T2 250 MX, 2023,Георгиевск,5 200 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2873,144500 ₽,Motoland Spring 200, 2025,Красноярск,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2874,144500 ₽,Racer Panther RC250GY-C2, 2024,Томск,200 км,224 куб. см.,бензин,карбюратор,4-тактный,-
2875,144990 ₽,Kayo K1-L 150 MX, 2024,Барнаул,-,150 куб. см.,бензин,карбюратор,4-тактный,механика
2876,144990 ₽,Kayo K1-L 150 MX, 2024,Красноярск,-,145 куб. см.,бензин,карбюратор,-,механика
2877,144990 ₽,Kayo K1-L 150 MX, 2025,Бийск,-,150 куб. см.,бензин,карбюратор,4-тактный,механика
2878,144999 ₽,Kayo T2-G 250 Enduro, 2021,Екатеринбург,5 800 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2879,145000 ₽,Kawasaki KX, 2010,Владивосток,-,65 куб. см.,бензин,карбюратор,2-тактный,механика
2880,145000 ₽,Kayo K1 250 MX, 2023,Иркутск,200 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2881,145000 ₽,Racer Panther RC300-GY8X, 2023,Анжеро-Судженск,1 800 км,300 куб. см.,бензин,-,4-тактный,механика
2882,145000 ₽,Racer RC250GY-C2K K2, 2023,Верхние Серги,3 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2883,145000 ₽,Suzuki Djebel 200, 2003,Находка,-,200 куб. см.,бензин,карбюратор,4-тактный,механика
2884,145000 ₽,Yamaha Serow, 1990,Барнаул,1 км,225 куб. см.,бензин,карбюратор,4-тактный,механика
2885,145000 ₽,Hiro GT 250, 2023,Нижневартовск,800 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2886,145000 ₽,Bajaj Boxer BM 150 UG, 2022,Томск,5 000 км,150 куб. см.,бензин,карбюратор,4-тактный,механика
2887,145000 ₽,BSE Z3, 2022,Чита,5 200 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2888,145000 ₽,Motoland RMZ250, 2020,Лунино,5 000 км,250 куб. см.,-,карбюратор,4-тактный,механика
2889,145000 ₽,Racer Enduro 300 RC300-GY8A, 2019,Чита,380 км,300 куб. см.,бензин,карбюратор,4-тактный,механика
2890,145000 ₽,Progasi Jumbo 150 Pro, 2025,Томск,-,150 куб. см.,бензин,карбюратор,4-тактный,механика
2891,145000 ₽,Kayo T2 250 MX, 2022,Каменск-Уральский,6 910 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2892,145000 ₽,Motoland CRF 250, 2020,Кузнецк,145 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
2893,145000 ₽,Honda CR 80R, 1996,Томск,500 км,80 куб. см.,бензин,-,2-тактный,-
2894,145000 ₽,Motoland XR140, 2024,Выборг,155 км,140 куб. см.,бензин,карбюратор,4-тактный,механика
2895,145000 ₽,Honda Magna, 2015,Владивосток,10 119 км,50 куб. см.,бензин,-,4-тактный,механика
2896,145000 ₽,Racer Enduro RC200GY-C2, 2020,Яровое,293 км,200 куб. см.,бензин,карбюратор,-,механика
