,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
48,25000 ₽,Иж Юпитер 5, 1980,Чусовой,67 536 км,350 куб. см.,-,-,-,-
49,25000 ₽,Alpha 110, 2014,Намцы,-,110 куб. см.,бензин,карбюратор,4-тактный,механика
50,25000 ₽,Другая Другая, 2025,Усть-Илимск,300 км,200 куб. см.,бензин,карбюратор,2-тактный,механика
51,25000 ₽,Урал ИМЗ 8.103-10, 1996,Коряжма,6 950 км,650 куб. см.,бензин,карбюратор,4-тактный,-
52,25000 ₽,Урал М-67 36, 1980,Краснокаменск,20 000 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
53,25000 ₽,Baltmotors Motard 250 DD, 2009,Александров,310 км,160 куб. см.,бензин,-,-,механика
54,25000 ₽,Irbis Irbis, 2017,Ангарск,-,250 куб. см.,бензин,-,4-тактный,-
55,25000 ₽,Другая Другая, 2010,Магнитогорск,250 км,50 куб. см.,-,карбюратор,2-тактный,автомат
56,25000 ₽,Восход 3М, 1990,Назарово,9 999 км,125 куб. см.,бензин,-,2-тактный,-
57,25000 ₽,Днепр 11, 1995,Сальск,25 000 км,450 куб. см.,бензин,карбюратор,4-тактный,механика
58,25000 ₽,Иж Юпитер 2, 1979,Ленинск-Кузнецкий,200 км,400 куб. см.,бензин,карбюратор,2-тактный,механика
59,25000 ₽,Днепр 11, 1988,Чунский,77 777 км,30 куб. см.,бензин,карбюратор,2-тактный,-
60,25000 ₽,Минск C 125, 1980,Тара,30 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
61,26000 ₽,Восход 3, 1991,Саранск,10 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
62,27000 ₽,ТМЗ Муравей 2, 1994,Спасск-Дальний,1 100 км,200 куб. см.,бензин,карбюратор,4-тактный,механика
63,27000 ₽,Восход 2М, 1989,Анжеро-Судженск,3 000 км,175 куб. см.,-,карбюратор,-,механика
64,28000 ₽,Irbis TTR 125, 2017,Шахты,777 км,150 куб. см.,бензин,-,-,-
65,28000 ₽,Motoland XT 50, 2023,Красноярск,100 км,49 куб. см.,бензин,карбюратор,-,автомат
66,28000 ₽,Alpha 110, 2012,Гусиноозёрск,160 км,110 куб. см.,бензин,карбюратор,4-тактный,механика
67,28000 ₽,Другая Другая, 1996,Ермаковское,50 000 км,250 куб. см.,-,карбюратор,2-тактный,механика
68,28000 ₽,KXD DB 703, 2024,Москва,-,49 куб. см.,бензин,-,2-тактный,-
69,28000 ₽,Иж 5, 1987,Аксарайский,-,350 куб. см.,-,-,-,механика
70,29000 ₽,Восход 3М-01, 1997,Улан-Удэ,-,175 куб. см.,бензин,карбюратор,2-тактный,механика
71,29000 ₽,Racer Magnum RC200-C5B, 2013,Верхнеяркеево,-,200 куб. см.,бензин,-,-,механика
72,29500 ₽,Apollo RXF Mini, 2025,Москва,-,49 куб. см.,бензин,карбюратор,2-тактный,автомат
73,29500 ₽,ABM GX, 2025,Москва,1 км,49 куб. см.,бензин,карбюратор,2-тактный,автомат
74,30000 ₽,Иж Юпитер 4, 1983,Камень-на-Оби,2 000 км,350 куб. см.,бензин,-,2-тактный,-
75,30000 ₽,Иж Юпитер 5, 1986,Брянск,-,250 куб. см.,-,-,-,-
76,30000 ₽,Irbis TTR 125, 2012,Кимовск,500 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
77,30000 ₽,Иж Планета, 1965,Черемхово,24 000 км,350 куб. см.,бензин,-,2-тактный,-
78,30000 ₽,Иж Планета 3, 1995,Саракташ,2 000 км,350 куб. см.,бензин,-,2-тактный,механика
79,30000 ₽,Иж 5, 1987,Голышманово,15 000 км,27 куб. см.,бензин,карбюратор,2-тактный,-
80,30000 ₽,Мотоальфа A-1, 2007,Александров,312 км,110 куб. см.,бензин,карбюратор,-,механика
81,30000 ₽,Урал Ретро, 1990,Крыловская,20 000 км,170 куб. см.,бензин,карбюратор,4-тактный,-
82,30000 ₽,Урал М-61, 1983,Лобаново,75 698 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
83,30000 ₽,ЗиД Ковровец, 1992,Нижний Ломов,10 000 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
84,30000 ₽,Иж Планета 5, 2002,Поспелиха,50 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
85,30000 ₽,Irbis GS 110, 2014,Бор,2 000 км,110 куб. см.,бензин,карбюратор,4-тактный,-
86,30000 ₽,Иж Юпитер 3, 1974,Новоалтайск,28 185 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
87,30000 ₽,Иж 49, 1971,Чита,20 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
88,30000 ₽,Motoland XT 50, 2020,Натухаевская,111 км,49 куб. см.,бензин,карбюратор,2-тактный,-
89,30000 ₽,Orion Orion, 2024,Китай<!-- --> <!-- -->→<!-- --> <!-- -->Владивосток,-,49 куб. см.,бензин,карбюратор,2-тактный,автомат
90,30000 ₽,Минск M 125, 1995,Тобольск,5 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
91,30000 ₽,Альфамото Korsar YM250-A2, 2020,Чита,8 000 км,110 куб. см.,бензин,карбюратор,4-тактный,автомат
92,30000 ₽,Иж Юпитер 3, 1976,Москва,11 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
93,30000 ₽,Иж Юпитер 5, 1977,Чита,2 222 км,350 куб. см.,бензин,-,2-тактный,-
94,30000 ₽,Урал ИМЗ 8.103-40, 1983,Ключи,34 856 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
95,30000 ₽,Irbis Irbis, 2011,Дальнегорск,-,125 куб. см.,бензин,карбюратор,-,механика
96,30000 ₽,Урал ИМЗ 8.103-10, 1972,Красноярск,55 555 км,650 куб. см.,-,карбюратор,4-тактный,механика
97,30000 ₽,Иж Планета 4, 1990,Тисуль,-,346 куб. см.,-,карбюратор,-,механика
98,30000 ₽,Иж 3, 1976,Ребриха,49 000 км,350 куб. см.,бензин,карбюратор,2-тактный,-
99,30000 ₽,Иж Планета 5, 1991,Берёзовский,25 000 км,350 куб. см.,бензин,-,2-тактный,-
100,30000 ₽,ТМЗ Муравей, 1992,Абакан,10 000 км,200 куб. см.,бензин,-,2-тактный,-
101,30000 ₽,ЗиД Ковровец, 1989,Залари,31 800 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
102,30000 ₽,Урал М-67, 1976,Саянский,-,649 куб. см.,-,-,-,-
103,30000 ₽,ABM ABM, 2024,Саки,5 км,50 куб. см.,бензин,карбюратор,2-тактный,-
104,30000 ₽,Иж Юпитер 2, 1961,Тюмень,1 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
105,30000 ₽,Иж Юпитер, 1990,Полысаево,200 000 км,350 куб. см.,бензин,-,4-тактный,механика
106,30000 ₽,Иж Юпитер 4, 1983,Волгореченск,150 000 км,350 куб. см.,-,-,-,механика
107,30000 ₽,Иж Юпитер 5, 1996,Берёзовский,-,349 куб. см.,-,карбюратор,-,-
108,30000 ₽,Иж Юпитер 5, 1988,Таврическое,12 863 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
109,30000 ₽,Apollo RXF Mini, 2025,Китай<!-- --> <!-- -->→<!-- --> <!-- -->Владивосток,-,49 куб. см.,бензин,карбюратор,2-тактный,-
110,30000 ₽,Orion 50-72a, 2023,Иркутск,100 км,50 куб. см.,бензин,-,2-тактный,автомат
111,30000 ₽,Ява 350-360, 1967,Бердск,111 111 км,350 куб. см.,бензин,-,2-тактный,-
112,30000 ₽,Apollo RXF Mini, 2025,Китай<!-- --> <!-- -->→<!-- --> <!-- -->Владивосток,-,49 куб. см.,бензин,карбюратор,2-тактный,автомат
113,30000 ₽,Иж Планета 3, 1982,Тайга,-,350 куб. см.,-,-,-,-
114,30000 ₽,Минск C 125, 1989,Пенза,2 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
115,30000 ₽,Motoland JKS125, 2020,Чита,1 000 км,124 куб. см.,-,карбюратор,-,автомат
116,30000 ₽,Orion Orion, 2024,Китай<!-- --> <!-- -->→<!-- --> <!-- -->Владивосток,-,49 куб. см.,бензин,-,2-тактный,автомат
117,30000 ₽,ТМЗ Муравей, 1980,Курган,45 000 км,-,бензин,-,-,-
118,30000 ₽,Днепр 11, 1995,Набережные Челны,666 666 км,650 куб. см.,-,карбюратор,4-тактный,механика
119,30000 ₽,Иж Юпитер 4, 1983,Заокский,68 494 км,350 куб. см.,-,карбюратор,2-тактный,механика
120,30000 ₽,Днепр МТ-9, 1993,Новокубанск,399 999 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
121,32000 ₽,Минск M 125, 2025,Томск,-,125 куб. см.,-,-,-,-
122,32000 ₽,ТМЗ Муравей, 1990,Новосибирск,-,350 куб. см.,бензин,карбюратор,-,механика
123,32000 ₽,Восход 3М, 1993,Каменск-Уральский,16 000 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
124,32500 ₽,Orion Orion, 2024,Владивосток,-,49 куб. см.,бензин,-,2-тактный,-
125,33000 ₽,Иж Планета 2, 1976,Ачинск,35 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
126,33000 ₽,Иж Юпитер 3, 1980,Красноярск,111 км,111 куб. см.,-,карбюратор,-,-
127,34000 ₽,Иж 5, 1989,Аксарайский,54 932 км,350 куб. см.,-,-,-,-
128,34000 ₽,Урал М-67, 1985,Буинск,28 000 км,649 куб. см.,бензин,карбюратор,2-тактный,механика
129,35000 ₽,Минск ММВЗ-3.112, 1979,Подосиновец,9 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
130,35000 ₽,Иж Юпитер 4, 1981,Большая Ирба,666 666 км,347 куб. см.,бензин,карбюратор,2-тактный,механика
131,35000 ₽,Иж Юпитер 5, 1995,Сурское,23 000 км,350 куб. см.,-,-,-,механика
132,35000 ₽,Минск M 125, 1976,Усть-Карск,1 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
133,35000 ₽,Kayo Basic TT125, 2023,Шепси,1 000 км,160 куб. см.,бензин,карбюратор,4-тактный,механика
134,35000 ₽,Восход 3М, 1990,Анжеро-Судженск,100 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
135,35000 ₽,Wels Thunder Mini 2T, 2020,Уссурийск,1 км,49 куб. см.,бензин,карбюратор,2-тактный,автомат
136,35000 ₽,ТМЗ Муравей, 1968,Курган,3 400 км,200 куб. см.,бензин,-,2-тактный,-
137,35000 ₽,Урал М-61, 1986,Новочеркасск,50 км,50 куб. см.,бензин,карбюратор,4-тактный,механика
138,35000 ₽,Урал М-67 36, 1981,Шилка,1 000 км,650 куб. см.,бензин,-,4-тактный,-
139,35000 ₽,ТМЗ ТМЗ-5.971, 1981,Находка,1 179 км,200 куб. см.,бензин,карбюратор,2-тактный,механика
140,35000 ₽,Восход 3М-01, 1993,Иркутск,8 000 км,200 куб. см.,бензин,карбюратор,2-тактный,механика
141,35000 ₽,ТМЗ 802, 1977,Чита,44 455 км,200 куб. см.,бензин,-,2-тактный,-
142,35000 ₽,Racer Pitbike RC125-PE, 2021,Ноглики,500 км,160 куб. см.,бензин,карбюратор,4-тактный,механика
143,35000 ₽,Иж 350, 1999,Яя,-,350 куб. см.,бензин,карбюратор,2-тактный,-
144,35000 ₽,Motoland Motoland, 2024,Хабаровск,50 км,49 куб. см.,бензин,карбюратор,2-тактный,автомат
145,35000 ₽,Минск C 125, 1991,Иркутск,-,11111 куб. см.,бензин,-,-,механика
146,35000 ₽,Иж Юпитер 2, 1980,Новосибирск,12 222 км,350 куб. см.,-,карбюратор,2-тактный,механика
147,35000 ₽,Урал М-67, 1980,Майма,963 963 км,120 куб. см.,бензин,карбюратор,4-тактный,механика
148,35000 ₽,Восход 3М, 1989,Усть-Большерецк,200 000 км,200 куб. см.,бензин,карбюратор,-,механика
149,35000 ₽,Иж Юпитер 4, 1974,Хомутово,18 455 км,350 куб. см.,-,-,-,-
150,35000 ₽,Musstang MT150-6, 2008,Нижнегорский,4 869 км,72 куб. см.,бензин,карбюратор,4-тактный,механика
151,35000 ₽,Минск ММВЗ-3.112, 1985,Анапа,4 868 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
152,35000 ₽,Иж 5, 1990,Юго-Камский,-,300 куб. см.,-,карбюратор,-,-
153,35000 ₽,Урал ИМЗ 8.103-30, 1987,Бийск,100 км,649 куб. см.,бензин,карбюратор,4-тактный,механика
154,35000 ₽,Irbis Irokez, 2010,Еманжелинск,5 000 км,125 куб. см.,бензин,карбюратор,4-тактный,автомат
155,35000 ₽,Иж Планета 5, 1986,Боград,1 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
156,35000 ₽,Урал 5557, 1978,Новосибирск,25 000 км,649 куб. см.,бензин,-,4-тактный,-
157,35000 ₽,Kayo Kayo, 2004,Москва,100 км,6 куб. см.,-,карбюратор,-,-
158,35000 ₽,Урал Турист, 1989,Баляга,60 000 км,1 куб. см.,бензин,карбюратор,4-тактный,механика
159,35000 ₽,Иж 5, 1987,Уфа,111 111 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
160,35390 ₽,GS Motors S5, 2024,Новосибирск,-,50 куб. см.,бензин,-,2-тактный,-
161,36500 ₽,STELS SB200, 2013,Уфа,13 000 км,200 куб. см.,бензин,карбюратор,4-тактный,механика
162,37000 ₽,Motoland XT 50, 2021,Зыково,1 000 км,50 куб. см.,бензин,карбюратор,2-тактный,автомат
163,37500 ₽,Урал М-67, 1980,Москва,25 000 км,650 куб. см.,-,-,-,-
164,38000 ₽,Самодельная модель Самодельная модель, 2021,Искитим,-,1 куб. см.,бензин,карбюратор,4-тактный,механика
165,38000 ₽,ТМЗ 802, 1979,Абакан,10 655 км,200 куб. см.,бензин,карбюратор,2-тактный,механика
166,40000 ₽,Восход 3М, 1989,Киржач,-,175 куб. см.,-,карбюратор,-,механика
167,40000 ₽,Урал ИМЗ 8.103-10, 1995,Черемхово,200 000 км,650 куб. см.,бензин,карбюратор,-,механика
168,40000 ₽,Alpha Alpha, 2008,Раздольное,777 777 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
169,40000 ₽,Восход 3М, 2025,Заводоуковск,999 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
170,40000 ₽,Иж Планета 2, 1966,Курагино,100 000 км,349 куб. см.,-,карбюратор,2-тактный,механика
171,40000 ₽,Иж Планета 5, 1987,Фоки,30 000 км,346 куб. см.,бензин,карбюратор,2-тактный,механика
172,40000 ₽,Иж Планета 5, 1992,Белгород,100 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
173,40000 ₽,Урал М-62, 1988,Бийск,33 333 км,200 куб. см.,бензин,карбюратор,4-тактный,механика
174,40000 ₽,Днепр МТ-10-36, 1990,Бабынино,20 000 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
175,40000 ₽,Racer Enduro RC150-GY, 2019,Чернышевск,5 000 км,150 куб. см.,бензин,-,2-тактный,механика
176,40000 ₽,Урал ИМЗ 8.103, 1988,Нема,30 000 км,649 куб. см.,бензин,карбюратор,4-тактный,механика
177,40000 ₽,Иж Юпитер 5, 1986,Острогожск,-,350 куб. см.,бензин,карбюратор,2-тактный,механика
178,40000 ₽,Днепр 11, 1986,Симферополь,25 968 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
179,40000 ₽,Урал М-62, 1978,Вязники,5 555 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
180,40000 ₽,Suzuki GS 250, 1985,Находка,25 000 км,250 куб. см.,бензин,карбюратор,4-тактный,механика
181,40000 ₽,Иж 350, 1998,Лукоянов,2 000 км,346 куб. см.,бензин,карбюратор,2-тактный,механика
182,40000 ₽,Tiger Sport, 2024,Владивосток,10 км,-,электро,-,-,автомат
183,40000 ₽,Минск C 125, 1989,Крымск,2 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
184,40000 ₽,Минск М 105, 1968,Новосибирск,17 000 км,125 куб. см.,бензин,карбюратор,2-тактный,механика
